Name,Image_URL,Price,URL
Worm Force Inse...,https://farmpays.com/wp-content/uploads/2022/05/download__6_-removebg-preview.png,"₦15,000.00",https://farmpays.com/product/cucumber-hybrid-seeds-darina-f1-10g-25g/
Sun-Paraquat 20...,https://farmpays.com/wp-content/uploads/2022/05/sun-paraquat-450x450.webp,"₦2,250.00",https://farmpays.com/product/micro-force-fertilizer-250-ml/
Cucumber Hybrid...,https://farmpays.com/wp-content/uploads/2022/05/Cucumber1-scaled-1-450x450.jpg,"₦10,406.25",https://farmpays.com/product/paraeforce/
Micro Force Fer...,https://farmpays.com/wp-content/uploads/2022/05/micro-force-removebg-preview-215x450.png,"₦9,476.25",https://farmpays.com/product/watering-can-plastic-12-liters-capacity/
PARAEFORCE (Non...,https://farmpays.com/wp-content/uploads/2022/05/PARAFORCE-450x450.jpg,"₦4,987.50",https://farmpays.com/product/metal-watering-vault-4-liters-capacityvv/
Watering Can (P...,https://farmpays.com/wp-content/uploads/2022/04/watering-can-2-removebg-preview-450x408.png,"₦6,500.00",https://farmpays.com/product/poultry-manual-drinker/?attribute_size=Poultry+Manual+Drinker+%284+and+10+Litres%29+-Pack+of+Dozen+%E2%80%93+Size%3A+4+Litres
Metal Watering ...,https://farmpays.com/wp-content/uploads/2022/04/1213542-450x450.jpg,"₦12,500.00",https://farmpays.com/product/poultry-manual-drinker/?attribute_size=Poultry+Manual+Drinker+%284+and+10+Litres%29+-Pack+of+Dozen+%E2%80%93+Size%3A+10+Litres
Poultry Manual ...,https://farmpays.com/wp-content/uploads/2022/03/IMG_20201007_131304_455-removebg-preview-1-433x450.png,"₦11,873.75",https://farmpays.com/product/z-force-1kg/
Poultry Manual ...,https://farmpays.com/wp-content/uploads/2022/03/IMG_20201007_131304_455-removebg-preview-1-433x450.png,₦750.00,https://farmpays.com/product/ultimax-plus/
Z-FORCE 1KG,https://farmpays.com/wp-content/uploads/2022/03/z-fforcee-1536x1024-1-450x450.png,"₦21,250.00",https://farmpays.com/product/ortiva-top/
ULTIMAX PLUS,https://farmpays.com/wp-content/uploads/2022/03/ultimax-plus-450x450.jpg,"₦139,650.00",https://farmpays.com/product/mist-duster/
ORTIVA TOP,https://farmpays.com/wp-content/uploads/2022/03/3c5a817259cb439eadf5072f25b02583_1593954206651-removebg-preview1-450x450.png,"₦120,927.92",https://farmpays.com/product/motorized-sprayer-knapsack/
